time,f_aligned
6252.44,734.8782212040305
6252.54,733.8296805117657
6252.64,732.8642439087884
6252.74,733.9128013599436
6252.85,733.7752890931706
6252.95,733.3914370920893
6253.05,733.9645819317317
6253.15,733.3914370920893
6253.25,733.4884559070795
6253.35,733.9128013599436
6253.45,733.489978117302
6253.55,733.3914370920893
6253.65,733.9128013599436
6253.75,733.9128013599436
6253.85,733.3914370920893
6253.96,734.440603452723
6254.06,734.8782212040305
6254.16,733.6903343967871
6254.26,734.440603452723
6254.36,734.440603452723
6254.46,733.9129479356394
6254.56,733.9128013599436
6254.66,733.3914370920893
6254.76,733.3914370920893
6254.86,733.3914370920893
6254.96,734.9489778209097
6255.06,733.3914370920893
6255.17,733.3914370920893
6255.27,734.0410295829729
6255.37,733.3914370920893
6255.47,734.0671037086931
6255.57,734.440603452723
6255.67,733.3914370920893
6255.77,734.4215410784191
6255.87,733.9005382202687
6255.97,734.3507336416299
6256.07,733.3914370920893
6256.17,734.3507336416299
6256.28,733.3914370920893
6256.38,734.8591701816069
6256.48,733.3914370920893
6256.58,735.3808537077913
6256.68,733.9128013599436
6256.78,734.9489778209097
6256.88,733.880251752533
6256.98,733.9128013599436
6257.08,734.3507336416299
6257.18,733.3914370920893
6257.28,734.4215410784191
6257.38,733.9128013599436
6257.49,734.4215410784191
6257.59,733.3914370920893
6257.69,734.4215410784191
6257.79,733.9128013599436
6257.89,733.9128013599436
6257.99,733.9128013599436
6258.09,733.3914370920893
6258.19,733.9128013599436
6258.29,733.3914370920893
6258.39,733.9128013599436
6258.49,733.3914370920893
6258.59,733.6323847597613
6258.7,733.9128013599436
6258.8,733.9128013599436
6258.9,734.4215410784191
6259.0,732.8642439087884
6259.1,733.3914370920893
6259.2,733.3914370920893
6259.3,733.8325377201122
6259.4,734.4215410784191
6259.51,733.3914370920893
6259.6,733.9128013599436
6259.7,733.9128013599436
6259.81,734.4215410784191
6259.91,733.3914370920893
6260.01,733.3859829584965
6260.11,733.9128013599436
6260.21,733.3914370920893
6260.31,733.3914370920893
6260.41,733.9128013599436
6260.51,733.3914370920893
6260.61,734.4215410784191
6260.71,733.3914370920893
6260.81,734.4215410784191
6260.91,733.3914370920893
6261.02,733.9005382202687
6261.12,733.3914370920893
6261.22,733.3914370920893
6261.32,733.123152247627
6261.42,733.3914370920893
6261.52,733.9128013599436
6261.62,732.9542959830442
6261.72,732.87106642301
6261.82,732.355787851779
6261.92,732.4267881501877
6262.02,733.9128013599436
6262.12,733.3914370920893
6262.23,733.3914370920893
6262.33,732.8642439087884
6262.43,732.355787851779
6262.53,733.9005382202687
6262.63,732.8833467885595
6262.73,732.8642439087884
6262.83,732.4336147392472
6262.93,732.8642439087884
6263.03,732.8642439087884
6263.13,733.3859829584965
6263.23,733.3914370920893
6263.34,732.355787851779
6263.44,732.8642439087884
6263.54,732.4336147392472
6263.64,732.9542959830442
6263.74,732.8642439087884
6263.84,733.3914370920893
6263.94,732.4336147392472
6264.04,732.8642439087884
6264.14,732.355787851779
6264.24,731.3966092346888
6264.34,732.9542959830442
6264.44,732.8642439087884
6264.55,732.355787851779
6264.65,731.9248595313593
6264.75,731.9248595313593
6264.85,731.9973886000779
6264.95,731.8346807852167
6265.05,731.9248595313593
6265.15,732.9542959830442
6265.25,732.355787851779
6265.35,733.3914370920893
6265.46,732.4267881501877
6265.55,732.8642439087884
6265.66,732.4267881501877
6265.76,732.8642439087884
6265.86,732.8642439087884
6265.96,733.3914370920893
6266.06,732.4267881501877
6266.16,732.4267881501877
6266.26,731.9057316348875
6266.36,732.4267881501877
6266.46,732.9542959830442
6266.56,732.4267881501877
6266.66,731.9057316348875
6266.76,732.9542959830442
6266.87,732.4267881501877
6266.97,732.4267881501877
6267.07,732.4336147392472
6267.17,733.0279667243262
6267.27,732.4336147392472
6267.37,732.5182591580909
6267.47,731.469069749364
6267.57,732.4336147392472
6267.68,732.9542959830442
6267.77,732.4336147392472
6267.87,731.9057316348875
6267.97,732.4267881501877
6268.08,732.9542959830442
6268.18,731.9180281971472
6268.28,732.8642439087884
6268.38,732.9451336855021
6268.48,731.9180281971472
6268.58,732.9479048885426
6268.68,732.534541428865
6268.78,732.9542959830442
6268.88,731.9972677544637
6268.98,732.9542959830442
6269.08,732.4780069670094
6269.19,732.9542959830442
6269.29,732.9542959830442
6269.39,732.9542959830442
6269.49,731.9972677544637
6269.59,732.5182591580909
6269.69,732.5182591580909
6269.79,732.5182591580909
6269.89,731.9972677544637
6269.99,732.9433811693779
6270.09,732.9433811693779
6270.19,732.7270817990112
6270.29,732.5073378472055
6270.4,731.9972677544637
