angular_v_mag,Environment
0.12606921191424972,Corridor
0.07254112134506883,Corridor
0.2372728446788633,Corridor
0.08720429597215953,Corridor
0.15741636107469892,Corridor
0.09709360387976132,Corridor
0.22544008863678172,Corridor
0.3542605182716386,Corridor
0.35243859679361167,Corridor
0.14724325570687438,Corridor
0.056737107337262095,Corridor
0.17468663847017607,Corridor
0.11006638133217607,Corridor
0.16114489315907593,Corridor
0.11460136425269989,Corridor
0.13053387770981137,Corridor
0.23052595048768368,Corridor
0.1788858400896225,Corridor
0.15209719553515771,Corridor
0.27939165929157583,Corridor
0.07165507837550668,Corridor
0.1815800239150772,Corridor
0.4854975269226404,Corridor
0.05846583423675754,Corridor
0.04712108573664233,Corridor
0.1833912810431837,Corridor
0.15043651629803848,Corridor
0.08278887752590934,Corridor
0.1042859187956117,Corridor
0.3826901822398412,Corridor
0.08997435344257838,Corridor
0.07804522221001108,Corridor
0.1857381878161031,Corridor
0.16232213757217467,Corridor
0.1346212489171007,Corridor
0.1325983777259737,Corridor
0.17263681589687063,Corridor
0.09257573306353022,Corridor
0.09408300576219916,Corridor
0.16739257389815715,Corridor
0.32361051901438553,Corridor
0.1690140953191774,Corridor
0.07549786653939307,Corridor
0.2238173800314891,Corridor
0.1214545838902756,Corridor
0.08064786418746624,Corridor
0.17702362290296175,Corridor
0.1090457896587025,Corridor
0.16740474358273125,Corridor
0.08047032713367089,Corridor
0.15552150677153953,Corridor
0.3279508758227213,Corridor
0.3464489992740635,Corridor
0.16859320422247157,Corridor
0.10683451193785648,Corridor
0.1847097991499098,Corridor
0.07835590929215225,Corridor
0.7359167980104817,Corridor
0.71788893857282,Corridor
0.2931108094902165,Corridor
0.10337148908669157,Corridor
0.10343183390523442,Corridor
0.23925017425489994,Corridor
0.21782033036656614,Corridor
0.08914779597971002,Corridor
0.35244968379279334,Corridor
0.21852204522656288,Corridor
0.25633487864323107,Corridor
0.12542031777224133,Corridor
0.16500546202901892,Corridor
0.1099167136088047,Corridor
0.15205559562488977,Corridor
0.18511235975331308,Corridor
0.08674824167670489,Corridor
0.13863932268285212,Corridor
0.186478948911908,Corridor
0.2600949928623963,Corridor
0.06942800239816788,Corridor
0.07386335543420701,Corridor
0.21326111017717225,Corridor
0.14263484033713503,Corridor
0.12094661852652182,Corridor
0.15236578691097286,Corridor
0.08512278458791157,Corridor
0.13228292299839767,Corridor
0.1803331490776169,Corridor
0.1526999391961241,Corridor
0.13383529356264737,Corridor
0.11198806812156376,Corridor
0.2871578214480149,Corridor
0.258159045530972,Corridor
