time,total_torque,footforce,d_footforce_dt,environment
5668.86,0.05748560160834103,721.3563613083342,2855.969789450586,Corridor
5668.96,0.019459938623172267,984.2026693845401,881.4264183814097,Corridor
5669.06,0.026856926675988393,969.687126239277,646.7085882039933,Corridor
5669.16,0.02606275353801052,1099.0313917263693,-71.75883471589906,Corridor
5669.26,0.03897017916474206,938.2846050106546,-1167.995614939109,Corridor
5669.37,0.04474845290874651,1008.2980710087668,1936.06631630772,Corridor
5669.47,0.018352366204789826,1103.001813235137,-1558.8392653888477,Corridor
5669.57,0.05810659752748432,802.3652534849699,-1761.137043365656,Corridor
5669.67,0.053233616666268344,948.2483851818573,3918.3104301829712,Corridor
5669.77,0.014412404661076725,1224.9489785293101,-1289.5722474146598,Corridor
5669.87,0.039763113828212654,882.3003798843057,-934.0454821750701,Corridor
5669.97,0.07786036711254886,1106.0293847814353,1515.4511477271406,Corridor
5670.07,0.016630128012545802,930.6820079919886,-3456.746197915696,Corridor
5670.17,0.03310043381348148,742.1098301464548,1426.4702806175455,Corridor
5670.27,0.032690609668182,1002.3786709622267,56.35836849982132,Corridor
5670.37,0.010104713373885271,836.6062395177315,983.3116058509255,Corridor
5670.48,0.04020589535732676,1187.3255661359271,1327.6943820781653,Corridor
5670.58,0.010406156032085764,945.8382525569581,-2893.3776892770165,Corridor
5670.68,0.04290926201868587,877.1698809238721,1012.891133885113,Corridor
5670.78,0.03931432914273553,1043.0771783525895,1742.6962957791163,Corridor
5670.88,0.026363518289034948,1074.2611414362898,-2074.738894027382,Corridor
5670.98,0.06243096959941726,825.0018181798147,4.986191818778007,Corridor
5671.08,0.061323466726424525,1122.80185251005,3463.358170065741,Corridor
5671.18,0.057973780864162605,1183.4360988240978,-3126.485682874205,Corridor
5671.28,0.042525910534558,858.1783031515071,995.8873272683411,Corridor
5671.38,0.061711457400297196,1247.4538067599938,1192.2053787622422,Corridor
5671.48,0.00633811643113073,982.0509151770085,-2084.6222273386893,Corridor
5671.59,0.049870256617092684,1084.4113610618435,2101.2413602192078,Corridor
5671.69,0.01976894046507817,1081.7878719970936,-3071.378102446226,Corridor
5671.79,0.04207166096369389,759.4649432330633,466.6949287864647,Corridor
5671.89,0.02072627711509624,1119.9656244724656,2310.6754027867264,Corridor
5671.99,0.030262455527435846,985.6515611513026,-2890.826945884228,Corridor
5672.09,0.04405907913483804,849.5610631379006,1045.804123854546,Corridor
5672.19,0.05692036017944786,1078.9059273171133,1587.8187510555638,Corridor
5672.29,0.016107216802052512,997.1890492780193,-2915.136276812115,Corridor
5672.39,0.027114335985264186,856.7963585356791,3190.465166368876,Corridor
5672.49,0.0370495782946489,1305.5887560790343,-609.0955203689856,Corridor
5672.59,0.026109927065703503,734.1791334544996,-4331.910603165249,Corridor
5672.69,0.023344677925196417,747.3994915706057,1416.846576423489,Corridor
5672.79,0.05249140732850496,768.2851033307883,-37.45302888463566,Corridor
5672.9,0.021948112269724825,798.6663884251045,117.64261607052497,Corridor
5673.0,0.01985397464885946,888.8318176123084,2894.566067228816,Corridor
5673.1,0.015031401663951222,1149.6599497242653,-1170.6137831358528,Corridor
5673.2,0.0762294620378852,789.0557648227406,-1204.2064890506344,Corridor
5673.3,0.044742804931588664,1096.4547414280262,4281.259069102494,Corridor
5673.4,0.03653287105613898,1216.3691873769246,-3039.760313394101,Corridor
5673.5,0.08519779166792477,821.4195030555337,-433.1365003348013,Corridor
