T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
1.9131153347717443e-06,2.3406719234901172e-05,5.748041210140391e-06,1.9131153347717443e-06,2.3406719234901172e-05,5.748041210140391e-06,1.9131153347717443e-06,2.3406719234901172e-05,5.748041210140391e-06,1.9131153347717443e-06,2.3406719234901172e-05,5.748041210140391e-06,Corridor
3.813183742652314e-06,3.1496010321387474e-05,7.72909438051605e-06,3.813183742652314e-06,3.1496010321387474e-05,7.72909438051605e-06,3.813183742652314e-06,3.1496010321387474e-05,7.72909438051605e-06,3.813183742652314e-06,3.1496010321387474e-05,7.72909438051605e-06,Corridor
7.0857459450843966e-06,6.0331209451800964e-05,1.4807428953597888e-05,7.0857459450843966e-06,6.0331209451800964e-05,1.4807428953597888e-05,7.0857459450843966e-06,6.0331209451800964e-05,1.4807428953597888e-05,7.0857459450843966e-06,6.0331209451800964e-05,1.4807428953597888e-05,Corridor
4.335677587523567e-06,2.9685847737423487e-05,7.178314529766564e-06,4.335677587523567e-06,2.9685847737423487e-05,7.178314529766564e-06,4.335677587523567e-06,2.9685847737423487e-05,7.178314529766564e-06,4.335677587523567e-06,2.9685847737423487e-05,7.178314529766564e-06,Corridor
1.0242627776175812e-05,8.008654580054214e-05,1.9652272534218183e-05,1.0242627776175812e-05,8.008654580054214e-05,1.9652272534218183e-05,1.0242627776175812e-05,8.008654580054214e-05,1.9652272534218183e-05,1.0242627776175812e-05,8.008654580054214e-05,1.9652272534218183e-05,Corridor
3.921204304468777e-06,3.2293939222708997e-05,7.822099127248458e-06,3.921204304468777e-06,3.2293939222708997e-05,7.822099127248458e-06,3.921204304468777e-06,3.2293939222708997e-05,7.822099127248458e-06,3.921204304468777e-06,3.2293939222708997e-05,7.822099127248458e-06,Corridor
5.401428022462303e-06,3.9375593932683784e-05,9.591305649130026e-06,5.401428022462303e-06,3.9375593932683784e-05,9.591305649130026e-06,5.401428022462303e-06,3.9375593932683784e-05,9.591305649130026e-06,5.401428022462303e-06,3.9375593932683784e-05,9.591305649130026e-06,Corridor
5.334085385915101e-06,4.353684198565091e-05,1.0668442666637538e-05,5.334085385915101e-06,4.353684198565091e-05,1.0668442666637538e-05,5.334085385915101e-06,4.353684198565091e-05,1.0668442666637538e-05,5.334085385915101e-06,4.353684198565091e-05,1.0668442666637538e-05,Corridor
4.957893037955122e-06,5.005726419568355e-05,1.2272465154346426e-05,4.957893037955122e-06,5.005726419568355e-05,1.2272465154346426e-05,4.957893037955122e-06,5.005726419568355e-05,1.2272465154346426e-05,4.957893037955122e-06,5.005726419568355e-05,1.2272465154346426e-05,Corridor
7.954971445349683e-06,5.429769193929302e-05,1.3248064968996482e-05,7.954971445349683e-06,5.429769193929302e-05,1.3248064968996482e-05,7.954971445349683e-06,5.429769193929302e-05,1.3248064968996482e-05,7.954971445349683e-06,5.429769193929302e-05,1.3248064968996482e-05,Corridor
7.900819510823696e-06,6.351400365368302e-05,1.558735945085539e-05,7.900819510823696e-06,6.351400365368302e-05,1.558735945085539e-05,7.900819510823696e-06,6.351400365368302e-05,1.558735945085539e-05,7.900819510823696e-06,6.351400365368302e-05,1.558735945085539e-05,Corridor
6.195637787567441e-06,4.3565398320035084e-05,1.0574255574594014e-05,6.195637787567441e-06,4.3565398320035084e-05,1.0574255574594014e-05,6.195637787567441e-06,4.3565398320035084e-05,1.0574255574594014e-05,6.195637787567441e-06,4.3565398320035084e-05,1.0574255574594014e-05,Corridor
1.4817685179225627e-05,0.00010468393431706836,2.5628383559353274e-05,1.4817685179225627e-05,0.00010468393431706836,2.5628383559353274e-05,1.4817685179225627e-05,0.00010468393431706836,2.5628383559353274e-05,1.4817685179225627e-05,0.00010468393431706836,2.5628383559353274e-05,Corridor
1.4028934422907344e-05,0.0001040010010708715,2.549161953212734e-05,1.4028934422907344e-05,0.0001040010010708715,2.549161953212734e-05,1.4028934422907344e-05,0.0001040010010708715,2.549161953212734e-05,1.4028934422907344e-05,0.0001040010010708715,2.549161953212734e-05,Corridor
9.497811471416433e-06,6.421655521037955e-05,1.5658120706762787e-05,9.497811471416433e-06,6.421655521037955e-05,1.5658120706762787e-05,9.497811471416433e-06,6.421655521037955e-05,1.5658120706762787e-05,9.497811471416433e-06,6.421655521037955e-05,1.5658120706762787e-05,Corridor
9.544948001290303e-06,7.366854718667504e-05,1.8076868776908847e-05,9.544948001290303e-06,7.366854718667504e-05,1.8076868776908847e-05,9.544948001290303e-06,7.366854718667504e-05,1.8076868776908847e-05,9.544948001290303e-06,7.366854718667504e-05,1.8076868776908847e-05,Corridor
2.108911626837213e-05,0.0001532630660829398,3.759418172767274e-05,2.108911626837213e-05,0.0001532630660829398,3.759418172767274e-05,2.108911626837213e-05,0.0001532630660829398,3.759418172767274e-05,2.108911626837213e-05,0.0001532630660829398,3.759418172767274e-05,Corridor
3.5718985364986435e-06,4.380703899479123e-05,1.0746056301301474e-05,3.5718985364986435e-06,4.380703899479123e-05,1.0746056301301474e-05,3.5718985364986435e-06,4.380703899479123e-05,1.0746056301301474e-05,3.5718985364986435e-06,4.380703899479123e-05,1.0746056301301474e-05,Corridor
8.52757324514363e-06,5.7820411991005e-05,1.4099214950866275e-05,8.52757324514363e-06,5.7820411991005e-05,1.4099214950866275e-05,8.52757324514363e-06,5.7820411991005e-05,1.4099214950866275e-05,8.52757324514363e-06,5.7820411991005e-05,1.4099214950866275e-05,Corridor
7.0068200623438426e-06,5.9264127041475545e-05,1.4509660582855768e-05,7.0068200623438426e-06,5.9264127041475545e-05,1.4509660582855768e-05,7.0068200623438426e-06,5.9264127041475545e-05,1.4509660582855768e-05,7.0068200623438426e-06,5.9264127041475545e-05,1.4509660582855768e-05,Corridor
8.793044801551255e-06,5.885559694669135e-05,1.4350817679419697e-05,8.793044801551255e-06,5.885559694669135e-05,1.4350817679419697e-05,8.793044801551255e-06,5.885559694669135e-05,1.4350817679419697e-05,8.793044801551255e-06,5.885559694669135e-05,1.4350817679419697e-05,Corridor
1.6886868732383794e-05,0.0001222632587543951,2.997693334446984e-05,1.6886868732383794e-05,0.0001222632587543951,2.997693334446984e-05,1.6886868732383794e-05,0.0001222632587543951,2.997693334446984e-05,1.6886868732383794e-05,0.0001222632587543951,2.997693334446984e-05,Corridor
2.448308954898727e-05,0.00017724303945641548,4.347809912072339e-05,2.448308954898727e-05,0.00017724303945641548,4.347809912072339e-05,2.448308954898727e-05,0.00017724303945641548,4.347809912072339e-05,2.448308954898727e-05,0.00017724303945641548,4.347809912072339e-05,Corridor
4.36918629822252e-06,3.90191810190003e-05,9.564095178031267e-06,4.36918629822252e-06,3.90191810190003e-05,9.564095178031267e-06,4.36918629822252e-06,3.90191810190003e-05,9.564095178031267e-06,4.36918629822252e-06,3.90191810190003e-05,9.564095178031267e-06,Corridor
1.1531459240068703e-05,9.036447478148084e-05,2.2148834095262834e-05,1.1531459240068703e-05,9.036447478148084e-05,2.2148834095262834e-05,1.1531459240068703e-05,9.036447478148084e-05,2.2148834095262834e-05,1.1531459240068703e-05,9.036447478148084e-05,2.2148834095262834e-05,Corridor
1.0778580995549589e-05,8.306510050239318e-05,2.0280338184034784e-05,1.0778580995549589e-05,8.306510050239318e-05,2.0280338184034784e-05,1.0778580995549589e-05,8.306510050239318e-05,2.0280338184034784e-05,1.0778580995549589e-05,8.306510050239318e-05,2.0280338184034784e-05,Corridor
1.4959406113455375e-05,0.000112916162085049,2.7643432454061882e-05,1.4959406113455375e-05,0.000112916162085049,2.7643432454061882e-05,1.4959406113455375e-05,0.000112916162085049,2.7643432454061882e-05,1.4959406113455375e-05,0.000112916162085049,2.7643432454061882e-05,Corridor
1.1030265195233338e-05,0.00010590649103472605,2.597883129520667e-05,1.1030265195233338e-05,0.00010590649103472605,2.597883129520667e-05,1.1030265195233338e-05,0.00010590649103472605,2.597883129520667e-05,1.1030265195233338e-05,0.00010590649103472605,2.597883129520667e-05,Corridor
