jmag,Environment
25.80954950514552,Running
15.854538555182206,Running
10.832649495134435,Running
15.688917959830954,Running
12.548387933714498,Running
12.1508019923199,Running
33.74257907504547,Running
34.57236810526483,Running
8.359099636265576,Running
27.127673565948495,Running
26.01361801094565,Running
35.06923570092264,Running
28.167116236488372,Running
25.121909594365462,Running
16.698543061072318,Running
22.179700195986285,Running
12.018861408944002,Running
32.40375595760518,Running
21.650329144510874,Running
41.603492976226654,Running
18.782934527057208,Running
28.084150337676995,Running
31.570887415608087,Running
25.378255579910434,Running
19.95440351087495,Running
40.67919712625225,Running
34.472223024298756,Running
36.06360351948605,Running
50.09934999243039,Running
26.115891153336655,Running
22.588125878826677,Running
12.976749615276331,Running
15.125970807429534,Running
33.71435933685647,Running
68.23852065153183,Running
23.684917924637716,Running
81.5113641322662,Running
25.19477622316324,Running
58.03012874076882,Running
46.847790559525116,Running
109.79037337804536,Running
46.92253017700659,Running
96.93478610319741,Running
138.78131568924255,Running
21.715028465981476,Running
95.36317393194405,Running
44.173405020390724,Running
23.720953457283667,Running
43.0353527181635,Running
17.658119804117984,Running
64.25205009933075,Running
78.23414029935505,Running
44.69294710652031,Running
64.85914778976512,Running
46.91012970392379,Running
29.143896269105927,Running
24.519875709364555,Running
14.026662622516373,Running
16.01985610878364,Running
41.899884370775574,Running
12.711067114893801,Running
58.58093387371187,Running
6.498296585552989,Running
57.997324342190474,Running
11.218361981275745,Running
64.02963178520248,Running
11.41222484683697,Running
50.67814228508769,Running
9.625107344668878,Running
18.94384834319004,Running
36.410274094641586,Running
22.883293423910658,Running
30.604900751485715,Running
41.04322741230971,Running
12.346694279073967,Running
25.86353679522274,Running
19.352818790491845,Running
31.31701735290744,Running
27.382387915387,Running
20.454250064598185,Running
31.344272776813508,Running
22.9054307717979,Running
17.338884721919683,Running
7.897637371838737,Running
26.156689380071228,Running
31.053576398296315,Running
24.752697039693317,Running
34.33607060067399,Running
83.02752969197135,Running
28.344484066398373,Running
72.26746189623918,Running
27.29022269947656,Running
35.532082485528925,Running
6.9917033645628965,Running
14.913076983230678,Running
9.26170659416032,Running
3.7559645082982462,Running
5.554539906321453,Running
17.4637949325657,Running
14.096807336304188,Running
36.97611886718387,Running
23.849422522871897,Running
54.20565925693249,Running
46.24979293698721,Running
33.66639789667436,Running
55.48760446770152,Running
7.00837471201854,Running
30.034231598593653,Running
17.952071165104293,Running
20.015230987747213,Running
22.357621393806028,Running
19.98171962626667,Running
41.16975670335836,Running
14.638186275422871,Running
51.60327829998476,Running
19.055221148458738,Running
51.59347935960256,Running
40.6577255212224,Running
18.64589882682977,Running
30.612906427114947,Running
3.538743329262324,Running
16.163359483209863,Running
11.717893145160005,Running
10.612303387857732,Running
12.105627983453799,Running
21.994918141141223,Running
20.191993946123002,Running
19.47307242027749,Running
28.14193051992867,Running
35.92230407315318,Running
61.584904189410615,Running
11.033344306459496,Running
40.143942617448616,Running
16.481494471987084,Running
6.737217718255852,Running
8.128198403246996,Running
20.9852377734649,Running
27.56276914345021,Running
34.09174132627481,Running
33.02497861158661,Running
31.78403939361556,Running
46.214717389126584,Running
77.52469552966251,Running
39.2062192259817,Running
33.558480926310956,Running
42.079801757073994,Running
63.53345071269121,Running
24.74862799471576,Running
70.92956562291265,Running
29.7182638520555,Running
45.85656583532213,Running
13.18725950935763,Running
9.881365440874381,Running
26.930109976679752,Running
10.417026101908029,Running
33.92299233711957,Running
17.44935400319042,Running
46.252431365657074,Running
9.844268666215514,Running
57.049855291729735,Running
35.457894330851296,Running
10.848535911282571,Running
22.32451698464607,Running
33.2985342099507,Running
56.5399053856438,Running
93.13586346629653,Running
33.61146663661361,Running
85.08792169482867,Running
48.29739216218353,Running
29.98816083101414,Running
39.102913812369174,Running
20.6675076737929,Running
44.90091558536023,Running
18.391680726040736,Running
29.195644390032783,Running
23.67160205219744,Running
24.58531278439093,Running
25.421471959722588,Running
8.840965496314363,Running
22.926470248930325,Running
21.06607812715053,Running
36.18651654211364,Running
53.89159287217695,Running
25.841440123384714,Running
58.39024583240777,Running
18.33245086651916,Running
35.49944425180636,Running
13.078249761534973,Running
22.199282229026824,Running
27.14670828271095,Running
14.598244362600246,Running
23.870102748001788,Running
17.824736385443092,Running
8.229016778922471,Running
9.493523493526455,Running
7.809613973784879,Running
14.269760656314347,Running
12.629090665303405,Running
10.284153819228575,Running
9.842237753543227,Running
8.174990856226524,Running
6.851575422275341,Running
