angular_mag,Environment
2.7986876923329636,Running
2.798779417820706,Running
2.804725146691004,Running
2.8062086634507866,Running
2.846623324309713,Running
2.9614692487164964,Running
3.14166272985165,Running
3.0033177731171325,Running
2.9718165524849898,Running
2.9676055489832907,Running
2.967613011857961,Running
2.9922927052546884,Running
2.9889062501591406,Running
2.983396218848838,Running
2.997576251062967,Running
2.9947402498473608,Running
2.9884335482479516,Running
2.9805207980559456,Running
2.973307680067586,Running
2.9701344393916367,Running
2.9604890103737427,Running
2.965665595119058,Running
2.9593306362871807,Running
2.9644430901205143,Running
2.9487836242159537,Running
2.955168313090928,Running
2.951314822304886,Running
2.9576500717610954,Running
2.954416646039976,Running
2.9540503874294513,Running
2.9557319346420927,Running
2.9522588133296597,Running
2.956894288104336,Running
2.959040230785178,Running
2.954405676351922,Running
2.9515519736577436,Running
2.947010707270259,Running
2.9372700684955237,Running
2.925611486954501,Running
2.9271065811904187,Running
2.921515601474882,Running
2.9197464885686366,Running
2.920900132257201,Running
2.91542593486112,Running
2.9156621653552244,Running
2.9181553801215223,Running
2.91590829246858,Running
2.922461782860802,Running
2.9114039234685887,Running
2.907519756340935,Running
2.9105967457131485,Running
2.908541139962731,Running
2.911813028084907,Running
2.912684546944303,Running
2.9091222086624584,Running
2.913286479216053,Running
2.9052685867468435,Running
2.9021860042078362,Running
2.9000462318647746,Running
2.8937943051532673,Running
2.8903505432133074,Running
2.8994794230445717,Running
2.9067735149315186,Running
2.9009007420210193,Running
2.911384404806105,Running
2.867353074205777,Running
2.707076139083735,Running
2.4784393473115176,Running
2.164308876233152,Running
1.9209969379202378,Running
1.8180045891362018,Running
1.7578941152703056,Running
1.7431953634357098,Running
1.7471143189821812,Running
1.7485961190112118,Running
1.7557584110545392,Running
1.7680073489229535,Running
1.7634600092304795,Running
1.762420473458434,Running
1.76013576345792,Running
1.7645483458172777,Running
1.7660519318710977,Running
1.7624032255447588,Running
1.7617038968738647,Running
1.7209646345393736,Running
1.6049239566161166,Running
1.419865152273375,Running
1.1712469152148064,Running
0.9019429999616163,Running
0.695515912870554,Running
0.6000466773976267,Running
0.5652115299440821,Running
0.5499204367812948,Running
0.5539577674887138,Running
0.5467113215629342,Running
0.5395368554953869,Running
0.5539725593751373,Running
0.5498979537748799,Running
0.5448253822956948,Running
0.5540352906608838,Running
0.5491532466139848,Running
0.5109752279919351,Running
0.3749501120633117,Running
0.15783128271353558,Running
0.11071492834780683,Running
0.19588382571197654,Running
0.22476381735795467,Running
0.2395826755243584,Running
0.23884844503460767,Running
0.22875106481304083,Running
0.2391445221902647,Running
0.24494643618809808,Running
0.23420360665327083,Running
0.23949480220334637,Running
0.2449419285924931,Running
0.23163072846140254,Running
0.2399124819893496,Running
0.2403172975434769,Running
0.23929032111665635,Running
0.2378614774290173,Running
0.23699834501744943,Running
0.2373642492991942,Running
0.2372520779064371,Running
0.2377164228068427,Running
0.2374329904910015,Running
0.23763965320400549,Running
0.23744659756890601,Running
0.23773134441405827,Running
0.23743109160476963,Running
0.23745828633105226,Running
0.2378369345703356,Running
0.23793952583842895,Running
0.23745002619551425,Running
0.23749386860289276,Running
0.237817786448777,Running
0.23783875490219186,Running
0.23749116607643936,Running
0.23812133873418068,Running
0.23779884216823766,Running
0.23762977395388904,Running
0.23765586128048874,Running
0.2381060236344146,Running
0.23779063986410062,Running
0.23766223468069636,Running
0.23746953493373185,Running
0.23803059334431445,Running
