jmag,angular_v_mag,Environment
25.78320597,0.128507161,Corridor
22.86006115,0.158720601,Corridor
13.5578156,0.146016711,Corridor
15.05425548,0.068439399,Corridor
25.61898604,0.275198665,Corridor
24.73675706,0.121260909,Corridor
8.937596097,0.074391542,Corridor
11.92531882,0.183871675,Corridor
16.34290476,0.073543957,Corridor
19.49897097,0.239713848,Corridor
12.56286098,0.166047866,Corridor
20.17473046,0.162599465,Corridor
17.30181115,0.264004643,Corridor
30.35926877,0.066308045,Corridor
11.82031624,0.21755858,Corridor
20.60183305,0.257276757,Corridor
20.25394836,0.092846605,Corridor
30.6814607,0.099845919,Corridor
7.461564672,0.191638112,Corridor
10.03150414,0.133317416,Corridor
21.42529705,0.318083603,Corridor
50.22581098,0.035033987,Corridor
22.32774886,0.142568724,Corridor
23.56909638,0.389238086,Corridor
43.51444546,0.232379747,Corridor
23.78923294,0.095800755,Corridor
13.82534806,0.083915827,Corridor
20.50333475,0.139284701,Corridor
45.91994255,0.22882134,Corridor
15.80564586,0.099106969,Corridor
10.26571478,0.077346556,Corridor
7.422251949,0.216867772,Corridor
23.22255119,0.177454782,Corridor
17.46223494,0.123049706,Corridor
12.94483561,0.214220954,Corridor
14.6096708,0.13259159,Corridor
11.40989154,0.185535668,Corridor
2.793568506,0.126787793,Corridor
10.71653979,0.061624818,Corridor
14.9665185,0.052768834,Corridor
4.139247395,0.261715961,Corridor
9.695433071,0.146099293,Corridor
24.07309102,0.098967837,Corridor
24.36339586,0.062281859,Corridor
23.96994333,0.134498697,Corridor
46.75243262,0.362548163,Corridor
32.36836618,0.198867078,Corridor
42.85723374,0.167534875,Corridor
31.98464638,0.144947853,Corridor
14.61685069,0.177763958,Corridor
23.46672216,0.236784256,Corridor
10.11720164,0.171518629,Corridor
14.26437647,0.135535423,Corridor
12.08953531,0.201269669,Corridor
26.53187986,0.184661755,Corridor
29.42059204,0.072243318,Corridor
51.45553611,0.278120877,Corridor
43.16640643,0.208730918,Corridor
31.37211176,0.152434847,Corridor
12.67161556,0.096202565,Corridor
15.33897324,0.089516377,Corridor
12.18709814,0.291218929,Corridor
18.00203777,0.105896665,Corridor
6.061339868,0.10703045,Corridor
