elapsed time,receive time,header.stamp,topic,value
5.793468776,1694525091.631106505,,/high_state.footForce[:],720
5.793468776,1694525091.631106505,,/high_state.footForce[:],211
5.793468776,1694525091.631106505,,/high_state.footForce[:],162
5.793468776,1694525091.631106505,,/high_state.footForce[:],864
5.793508652,1694525091.631106505,,/high_state.footForce[:],720
5.793508652,1694525091.631106505,,/high_state.footForce[:],211
5.793508652,1694525091.631106505,,/high_state.footForce[:],162
5.793508652,1694525091.631106505,,/high_state.footForce[:],864
5.793530641,1694525091.631106505,,/high_state.footForce[:],720
5.793530641,1694525091.631106505,,/high_state.footForce[:],211
5.793530641,1694525091.631106505,,/high_state.footForce[:],162
5.793530641,1694525091.631106505,,/high_state.footForce[:],864
5.79356591,1694525091.631106505,,/high_state.footForce[:],720
5.79356591,1694525091.631106505,,/high_state.footForce[:],211
5.79356591,1694525091.631106505,,/high_state.footForce[:],162
5.79356591,1694525091.631106505,,/high_state.footForce[:],864
5.7935985,1694525091.631106505,,/high_state.footForce[:],720
5.7935985,1694525091.631106505,,/high_state.footForce[:],211
5.7935985,1694525091.631106505,,/high_state.footForce[:],162
5.7935985,1694525091.631106505,,/high_state.footForce[:],864
5.793659858,1694525091.631106505,,/high_state.footForce[:],577
5.793659858,1694525091.631106505,,/high_state.footForce[:],206
5.793659858,1694525091.631106505,,/high_state.footForce[:],466
5.793659858,1694525091.631106505,,/high_state.footForce[:],892
5.793699431,1694525091.631106505,,/high_state.footForce[:],577
5.793699431,1694525091.631106505,,/high_state.footForce[:],206
5.793699431,1694525091.631106505,,/high_state.footForce[:],466
5.793699431,1694525091.631106505,,/high_state.footForce[:],892
5.793731598,1694525091.631106505,,/high_state.footForce[:],577
5.793731598,1694525091.631106505,,/high_state.footForce[:],206
5.793731598,1694525091.631106505,,/high_state.footForce[:],466
5.793731598,1694525091.631106505,,/high_state.footForce[:],892
5.793791155,1694525091.631106505,,/high_state.footForce[:],577
5.793791155,1694525091.631106505,,/high_state.footForce[:],206
5.793791155,1694525091.631106505,,/high_state.footForce[:],466
5.793791155,1694525091.631106505,,/high_state.footForce[:],892
5.793816034,1694525091.631106505,,/high_state.footForce[:],577
5.793816034,1694525091.631106505,,/high_state.footForce[:],206
5.793816034,1694525091.631106505,,/high_state.footForce[:],466
5.793816034,1694525091.631106505,,/high_state.footForce[:],892
5.793856143,1694525091.631106505,,/high_state.footForce[:],577
5.793856143,1694525091.631106505,,/high_state.footForce[:],206
5.793856143,1694525091.631106505,,/high_state.footForce[:],466
5.793856143,1694525091.631106505,,/high_state.footForce[:],892
5.793882273,1694525091.631106505,,/high_state.footForce[:],577
5.793882273,1694525091.631106505,,/high_state.footForce[:],206
5.793882273,1694525091.631106505,,/high_state.footForce[:],466
5.793882273,1694525091.631106505,,/high_state.footForce[:],892
5.793912024,1694525091.631106505,,/high_state.footForce[:],577
5.793912024,1694525091.631106505,,/high_state.footForce[:],206
5.793912024,1694525091.631106505,,/high_state.footForce[:],466
5.793912024,1694525091.631106505,,/high_state.footForce[:],892
5.793928528,1694525091.631106505,,/high_state.footForce[:],577
5.793928528,1694525091.631106505,,/high_state.footForce[:],206
5.793928528,1694525091.631106505,,/high_state.footForce[:],466
5.793928528,1694525091.631106505,,/high_state.footForce[:],892
5.793942694,1694525091.631106505,,/high_state.footForce[:],577
5.793942694,1694525091.631106505,,/high_state.footForce[:],206
5.793942694,1694525091.631106505,,/high_state.footForce[:],466
5.793942694,1694525091.631106505,,/high_state.footForce[:],892
5.793972126,1694525091.631106505,,/high_state.footForce[:],496
5.793972126,1694525091.631106505,,/high_state.footForce[:],222
5.793972126,1694525091.631106505,,/high_state.footForce[:],464
5.793972126,1694525091.631106505,,/high_state.footForce[:],956
5.793992156,1694525091.631106505,,/high_state.footForce[:],496
5.793992156,1694525091.631106505,,/high_state.footForce[:],222
5.793992156,1694525091.631106505,,/high_state.footForce[:],464
5.793992156,1694525091.631106505,,/high_state.footForce[:],956
5.794023397,1694525091.631106505,,/high_state.footForce[:],496
5.794023397,1694525091.631106505,,/high_state.footForce[:],222
5.794023397,1694525091.631106505,,/high_state.footForce[:],464
5.794023397,1694525091.631106505,,/high_state.footForce[:],956
5.797829856,1694525091.631106505,,/high_state.footForce[:],496
5.797829856,1694525091.631106505,,/high_state.footForce[:],222
5.797829856,1694525091.631106505,,/high_state.footForce[:],464
5.797829856,1694525091.631106505,,/high_state.footForce[:],956
5.838043827,1694525091.631106505,,/high_state.footForce[:],496
5.838043827,1694525091.631106505,,/high_state.footForce[:],222
5.838043827,1694525091.631106505,,/high_state.footForce[:],464
5.838043827,1694525091.631106505,,/high_state.footForce[:],956
5.838079589,1694525091.631106505,,/high_state.footForce[:],496
5.838079589,1694525091.631106505,,/high_state.footForce[:],222
5.838079589,1694525091.631106505,,/high_state.footForce[:],464
5.838079589,1694525091.631106505,,/high_state.footForce[:],956
5.838142212,1694525091.631106505,,/high_state.footForce[:],496
5.838142212,1694525091.631106505,,/high_state.footForce[:],222
5.838142212,1694525091.631106505,,/high_state.footForce[:],464
5.838142212,1694525091.631106505,,/high_state.footForce[:],956
5.83817042,1694525091.631106505,,/high_state.footForce[:],496
5.83817042,1694525091.631106505,,/high_state.footForce[:],222
5.83817042,1694525091.631106505,,/high_state.footForce[:],464
5.83817042,1694525091.631106505,,/high_state.footForce[:],956
5.838206352,1694525091.631106505,,/high_state.footForce[:],496
5.838206352,1694525091.631106505,,/high_state.footForce[:],222
5.838206352,1694525091.631106505,,/high_state.footForce[:],464
5.838206352,1694525091.631106505,,/high_state.footForce[:],956
5.838285394,1694525091.631106505,,/high_state.footForce[:],496
5.838285394,1694525091.631106505,,/high_state.footForce[:],222
5.838285394,1694525091.631106505,,/high_state.footForce[:],464
5.838285394,1694525091.631106505,,/high_state.footForce[:],956
5.838305961,1694525091.631106505,,/high_state.footForce[:],117
5.838305961,1694525091.631106505,,/high_state.footForce[:],917
5.838305961,1694525091.631106505,,/high_state.footForce[:],1082
5.838305961,1694525091.631106505,,/high_state.footForce[:],153
5.838349267,1694525091.631106505,,/high_state.footForce[:],117
5.838349267,1694525091.631106505,,/high_state.footForce[:],917
5.838349267,1694525091.631106505,,/high_state.footForce[:],1082
5.838349267,1694525091.631106505,,/high_state.footForce[:],153
5.838452996,1694525091.631106505,,/high_state.footForce[:],117
5.838452996,1694525091.631106505,,/high_state.footForce[:],917
5.838452996,1694525091.631106505,,/high_state.footForce[:],1082
5.838452996,1694525091.631106505,,/high_state.footForce[:],153
5.838522886,1694525091.631106505,,/high_state.footForce[:],117
5.838522886,1694525091.631106505,,/high_state.footForce[:],917
5.838522886,1694525091.631106505,,/high_state.footForce[:],1082
5.838522886,1694525091.631106505,,/high_state.footForce[:],153
5.838572802,1694525091.631106505,,/high_state.footForce[:],117
5.838572802,1694525091.631106505,,/high_state.footForce[:],917
5.838572802,1694525091.631106505,,/high_state.footForce[:],1082
5.838572802,1694525091.631106505,,/high_state.footForce[:],153
5.838633697,1694525091.631106505,,/high_state.footForce[:],117
5.838633697,1694525091.631106505,,/high_state.footForce[:],917
5.838633697,1694525091.631106505,,/high_state.footForce[:],1082
5.838633697,1694525091.631106505,,/high_state.footForce[:],153
5.8386973,1694525091.631106505,,/high_state.footForce[:],117
5.8386973,1694525091.631106505,,/high_state.footForce[:],917
5.8386973,1694525091.631106505,,/high_state.footForce[:],1082
5.8386973,1694525091.631106505,,/high_state.footForce[:],153
5.838737716,1694525091.631106505,,/high_state.footForce[:],117
5.838737716,1694525091.631106505,,/high_state.footForce[:],917
5.838737716,1694525091.631106505,,/high_state.footForce[:],1082
5.838737716,1694525091.631106505,,/high_state.footForce[:],153
5.838761806,1694525091.631106505,,/high_state.footForce[:],117
5.838761806,1694525091.631106505,,/high_state.footForce[:],917
5.838761806,1694525091.631106505,,/high_state.footForce[:],1082
5.838761806,1694525091.631106505,,/high_state.footForce[:],153
5.838787985,1694525091.631106505,,/high_state.footForce[:],117
5.838787985,1694525091.631106505,,/high_state.footForce[:],917
5.838787985,1694525091.631106505,,/high_state.footForce[:],1082
5.838787985,1694525091.631106505,,/high_state.footForce[:],153
5.838813618,1694525091.631106505,,/high_state.footForce[:],131
5.838813618,1694525091.631106505,,/high_state.footForce[:],800
5.838813618,1694525091.631106505,,/high_state.footForce[:],1051
5.838813618,1694525091.631106505,,/high_state.footForce[:],162
5.838839711,1694525091.631106505,,/high_state.footForce[:],131
5.838839711,1694525091.631106505,,/high_state.footForce[:],800
5.838839711,1694525091.631106505,,/high_state.footForce[:],1051
5.838839711,1694525091.631106505,,/high_state.footForce[:],162
5.838906639,1694525091.631106505,,/high_state.footForce[:],131
5.838906639,1694525091.631106505,,/high_state.footForce[:],800
5.838906639,1694525091.631106505,,/high_state.footForce[:],1051
5.838906639,1694525091.631106505,,/high_state.footForce[:],162
5.838926621,1694525091.631106505,,/high_state.footForce[:],131
5.838926621,1694525091.631106505,,/high_state.footForce[:],800
5.838926621,1694525091.631106505,,/high_state.footForce[:],1051
5.838926621,1694525091.631106505,,/high_state.footForce[:],162
5.838943205,1694525091.631106505,,/high_state.footForce[:],131
5.838943205,1694525091.631106505,,/high_state.footForce[:],800
5.838943205,1694525091.631106505,,/high_state.footForce[:],1051
5.838943205,1694525091.631106505,,/high_state.footForce[:],162
5.880670329,1694525091.631106505,,/high_state.footForce[:],131
5.880670329,1694525091.631106505,,/high_state.footForce[:],800
5.880670329,1694525091.631106505,,/high_state.footForce[:],1051
5.880670329,1694525091.631106505,,/high_state.footForce[:],162
5.880700791,1694525091.631106505,,/high_state.footForce[:],131
5.880700791,1694525091.631106505,,/high_state.footForce[:],800
5.880700791,1694525091.631106505,,/high_state.footForce[:],1051
5.880700791,1694525091.631106505,,/high_state.footForce[:],162
5.880737067,1694525091.631106505,,/high_state.footForce[:],131
5.880737067,1694525091.631106505,,/high_state.footForce[:],800
5.880737067,1694525091.631106505,,/high_state.footForce[:],1051
5.880737067,1694525091.631106505,,/high_state.footForce[:],162
5.88125784,1694525091.631106505,,/high_state.footForce[:],131
5.88125784,1694525091.631106505,,/high_state.footForce[:],800
5.88125784,1694525091.631106505,,/high_state.footForce[:],1051
5.88125784,1694525091.631106505,,/high_state.footForce[:],162
5.881323588,1694525091.631106505,,/high_state.footForce[:],131
5.881323588,1694525091.631106505,,/high_state.footForce[:],800
5.881323588,1694525091.631106505,,/high_state.footForce[:],1051
5.881323588,1694525091.631106505,,/high_state.footForce[:],162
5.88136265,1694525091.631106505,,/high_state.footForce[:],142
5.88136265,1694525091.631106505,,/high_state.footForce[:],867
5.88136265,1694525091.631106505,,/high_state.footForce[:],1009
5.88136265,1694525091.631106505,,/high_state.footForce[:],178
5.881406019,1694525091.631106505,,/high_state.footForce[:],142
5.881406019,1694525091.631106505,,/high_state.footForce[:],867
5.881406019,1694525091.631106505,,/high_state.footForce[:],1009
5.881406019,1694525091.631106505,,/high_state.footForce[:],178
5.881430237,1694525091.631106505,,/high_state.footForce[:],142
5.881430237,1694525091.631106505,,/high_state.footForce[:],867
5.881430237,1694525091.631106505,,/high_state.footForce[:],1009
5.881430237,1694525091.631106505,,/high_state.footForce[:],178
5.881453736,1694525091.631106505,,/high_state.footForce[:],142
5.881453736,1694525091.631106505,,/high_state.footForce[:],867
5.881453736,1694525091.631106505,,/high_state.footForce[:],1009
5.881453736,1694525091.631106505,,/high_state.footForce[:],178
