jmag,angular_vel_mag,Environment
17.78007441,0.213862528,Corridor
10.85782293,0.155742761,Corridor
19.75628983,0.12719645,Corridor
16.31272093,0.244789419,Corridor
10.632521,0.0468234,Corridor
8.519512884,0.039734031,Corridor
12.83510142,0.109735204,Corridor
11.46939381,0.194243145,Corridor
11.98060522,0.176530958,Corridor
23.96466252,0.081960811,Corridor
21.12931788,0.088553253,Corridor
23.9146372,0.201975068,Corridor
4.93959467,0.155906725,Corridor
8.026839804,0.110551868,Corridor
7.31401775,0.249133313,Corridor
4.377187696,0.031529981,Corridor
11.41384729,0.101217516,Corridor
25.51137413,0.237533806,Corridor
9.62347096,0.166758958,Corridor
17.56969051,0.233608821,Corridor
9.229376631,0.112318179,Corridor
14.51166475,0.390261937,Corridor
12.61342572,0.222477852,Corridor
14.20144139,0.170026071,Corridor
15.96707689,0.164937447,Corridor
21.09711625,0.180671145,Corridor
2.022538831,0.16207351,Corridor
15.56476861,0.098576672,Corridor
10.50115073,0.11907459,Corridor
41.73898607,0.238679958,Corridor
10.77717537,0.042726804,Corridor
28.79028515,0.299049729,Corridor
25.92173116,0.141300224,Corridor
16.23787556,0.224059097,Corridor
33.76059603,0.088462482,Corridor
12.68192598,0.105653969,Corridor
18.17703238,0.073559369,Corridor
17.55204835,0.143349146,Corridor
12.46361156,0.237237613,Corridor
13.59181927,0.136609894,Corridor
15.38655944,0.110722713,Corridor
21.3050204,0.253458837,Corridor
20.62133099,0.159076992,Corridor
9.299899656,0.205289224,Corridor
17.9562283,0.285947456,Corridor
26.76460796,0.104862018,Corridor
9.970757017,0.133951747,Corridor
40.53029347,0.03138176,Corridor
14.22777558,0.155760834,Corridor
12.3450064,0.177286903,Corridor
19.66927359,0.107288915,Corridor
33.40236508,0.194718713,Corridor
11.58892097,0.197447414,Corridor
21.93978869,0.172424297,Corridor
8.101494956,0.030359037,Corridor
14.59721087,0.195505653,Corridor
13.97669018,0.0472217,Corridor
21.12672699,0.033107884,Corridor
10.56647257,0.126774875,Corridor
4.482292587,0.157981205,Corridor
27.32776328,0.19214749,Corridor
15.39762584,0.076702187,Corridor
16.70379424,0.213162174,Corridor
11.01786525,0.269685512,Corridor
31.85801875,0.150646009,Corridor
5.74814277,0.13666077,Corridor
33.86850389,0.193406469,Corridor
15.2461631,0.135035397,Corridor
13.53994116,0.217210013,Corridor
22.4228062,0.212282013,Corridor
45.07013653,0.241226274,Corridor
16.58006895,0.063381189,Corridor
32.2745111,0.240241687,Corridor
18.81009455,0.116560434,Corridor
5.242575607,0.135983642,Corridor
19.7547914,0.091949494,Corridor
13.92966502,0.051607071,Corridor
4.207115194,0.254675714,Corridor
