T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.0017116314625858428,0.015889879048446118,0.003898114207296278,Parking,5294.06,853.9800934448062,1483.0629620381558,Parking
0.0012607657633440812,0.012674836281711522,0.003092546138534459,Parking,5294.16,1295.3431977665225,1506.7492941243709,Parking
0.0003183890435233655,0.004010111910737469,0.0009851061884284529,Parking,5294.26,1077.547386091902,1524.4412568015343,Parking
0.0016423684127634167,0.01556238306343784,0.003797101907491145,Parking,5294.36,1090.973418557941,1529.2199939807222,Parking
0.0011980812689978283,0.013642274166426953,0.0033414821301341077,Parking,5294.47,1249.0996757665098,1535.536393101909,Parking
0.0007115393748321043,0.002213039066380809,0.0004504561126260603,Parking,5294.57,889.2502459937809,1532.7617239937658,Parking
0.0017746296052518974,0.013918074817361452,0.003398139038860407,Parking,5294.67,713.8844444306095,1499.4517071015227,Parking
0.00010878618332830653,0.0007396881628210956,0.0001767028542244697,Parking,5294.77,1645.944713530804,1448.50991210476,Parking
0.0004196343641851784,0.004041394043128604,0.0009877698217427044,Parking,5294.87,1164.9952789603913,1362.2370575124835,Parking
0.0008980956355538561,0.006986303635818459,0.001695325704079988,Parking,5294.97,844.2517397080092,1231.4340725373177,Parking
0.0008147456890271578,0.0048708284854841405,0.0011740467438656318,Parking,5295.07,1502.9387878420066,1069.2975318475,Parking
0.0006034023896955678,0.007290319359474599,0.001787715062149186,Parking,5295.17,1293.5911255106846,848.4288038075413,Parking
0.001516406280482803,0.010394174850412606,0.00253311801587711,Parking,5295.27,1144.881216546066,575.2692316072158,Parking
0.0017136336510180314,0.01217993316027664,0.0029839843775572353,Parking,5295.37,1307.3159526296618,275.3222720219937,Parking
0.0011879064111183003,0.00977565314787975,0.002398622933421778,Parking,5295.47,1003.4017141703516,-72.83007410647387,Parking
0.0027533458091205383,0.02307443061638282,0.005659005979881695,Parking,5295.58,1120.689519893891,-461.83949236617,Parking
0.0015433512886028648,0.014730945519961507,0.0036133243844166376,Parking,5295.68,1324.1623767499211,-870.8238372093489,Parking
0.0007307541399807667,0.003114717926548414,0.0007002226692258264,Parking,5295.78,868.235730566,-1291.4676078845719,Parking
0.0031434166978724794,0.02273479483166742,0.005517866044540639,Parking,5295.88,1240.1330573773123,-1709.5506816952245,Parking
0.002935006831621869,0.012151203677535796,0.0027308420014089704,Parking,5295.98,1428.2457771686215,-2108.6783303366187,Parking
0.0018966712903128481,0.006938765594290669,0.001515066603765426,Parking,5296.08,1190.9722918691266,-2480.776578057147,Parking
0.0026913364875706305,0.014966394096065259,0.0035596643417940645,Parking,5296.18,972.0318924809001,-2789.198786405774,Parking
0.0011199052850330157,0.008310405208711036,0.002037096971738214,Parking,5296.28,1445.8696345106637,-3020.5791506373416,Parking
0.001257542824559234,0.011227188811195941,0.002755365355007995,Parking,5296.38,1296.4042579380862,-3169.997639678538,Parking
0.0017967928046875748,0.012712010117932129,0.003112878593128789,Parking,5296.49,1163.0180566096126,-3210.1431952025614,Parking
0.0014926309574912104,0.013903439278580529,0.003409746765169562,Parking,5296.59,905.3894189794798,-3132.349422475267,Parking
0.0012872299589252337,0.014118284329185458,0.0034669423445506642,Parking,5296.68,1098.0154825866528,-2934.000604537617,Parking
0.0017688021451547375,0.012359653219528735,0.00302158143116516,Parking,5296.79,1396.8185279412642,-2620.4491865672026,Parking
0.0014047618592324016,0.011413865062237629,0.002801243897278566,Parking,5296.89,886.0366809562684,-2200.739283331853,Parking
0.0011782770343293047,0.009934246502511386,0.0024217888317627006,Parking,5296.99,745.1630694015907,-1686.521299119099,Parking
0.003367736921454231,0.025547501969893378,0.006257588679516182,Parking,5297.09,946.4935287681581,-1111.0529485082734,Parking
0.00210356504757795,0.010359515147236813,0.00242325958309668,Parking,5297.19,1274.105961056615,-507.0375996907041,Parking
0.0023693906822896222,0.018387981015968585,0.004508884636930953,Parking,5297.29,881.0913687013397,106.55128104267553,Parking
0.0023818823463207365,0.019130433417335443,0.004668171950227666,Parking,5297.39,1257.3662950787252,694.5163227942464,Parking
0.0013590263546943543,0.012809826087611373,0.0031337761956897027,Parking,5297.49,1093.0242449278057,1231.8755388450743,Parking
0.0007723263473834377,0.005626848167478397,0.0013803178085241084,Parking,5297.6,903.0332219802326,1703.8346088470132,Parking
0.002233794927786479,0.021363640904923233,0.005245514106924068,Parking,5297.7,868.9286506957864,2085.1442068939436,Parking
0.002223885711062723,0.02091079603987731,0.005130868873188725,Parking,5297.79,1426.9035672699556,2361.9109027236136,Parking
