angular_mag,Environment
0.2891898178689493,Parking Lot
0.28893115742726605,Parking Lot
0.2889035395226665,Parking Lot
0.2889270184423388,Parking Lot
0.2890320152700432,Parking Lot
0.2888716823378818,Parking Lot
0.28883362181161737,Parking Lot
0.28900977499789327,Parking Lot
0.28884053793602105,Parking Lot
0.28889065164354555,Parking Lot
0.28912543460422313,Parking Lot
0.2892350374234984,Parking Lot
0.28909668889515566,Parking Lot
0.2889329327493093,Parking Lot
0.2888138822711348,Parking Lot
0.2888716573985702,Parking Lot
0.2887242271188104,Parking Lot
0.2889508654503823,Parking Lot
0.2889877234555932,Parking Lot
0.28887347876412955,Parking Lot
0.28890106404082716,Parking Lot
0.28884610115013776,Parking Lot
0.2890107861477491,Parking Lot
0.2889883950637506,Parking Lot
0.28890970468802546,Parking Lot
0.28897506521088306,Parking Lot
0.2889703451362122,Parking Lot
0.2889598026481408,Parking Lot
0.2890028740675262,Parking Lot
0.2890400035754179,Parking Lot
0.2888655608040703,Parking Lot
0.2888006759385831,Parking Lot
0.28882451971649237,Parking Lot
0.2886416919200107,Parking Lot
0.28885411722053905,Parking Lot
0.2886473811971259,Parking Lot
0.28836133486481313,Parking Lot
0.28815405657760584,Parking Lot
0.28785515337622497,Parking Lot
0.28704100098886587,Parking Lot
0.286095462782781,Parking Lot
0.2864980092269231,Parking Lot
0.28580324193035317,Parking Lot
0.2862269526897116,Parking Lot
0.2853574713191971,Parking Lot
0.28505333386045073,Parking Lot
0.2848231006741772,Parking Lot
0.2844323083856607,Parking Lot
0.28341229763500403,Parking Lot
0.28318280162895504,Parking Lot
0.2832759644856055,Parking Lot
0.28328395711593424,Parking Lot
0.2832270969090918,Parking Lot
0.2830049833045249,Parking Lot
0.2830946975555722,Parking Lot
0.2831922067443707,Parking Lot
0.28293290711465946,Parking Lot
0.28284644310753565,Parking Lot
0.28257908321757663,Parking Lot
0.28349293327076075,Parking Lot
0.3002749117596906,Parking Lot
0.30920678221888986,Parking Lot
0.2994613747293797,Parking Lot
0.28765185374493935,Parking Lot
0.2797713372853513,Parking Lot
0.2708958674655263,Parking Lot
0.2689778527097159,Parking Lot
0.2727265096204667,Parking Lot
0.2627693079927456,Parking Lot
0.26393317192483573,Parking Lot
0.2731679019746026,Parking Lot
0.2672523128283084,Parking Lot
0.26798456221396405,Parking Lot
0.2742731981832605,Parking Lot
0.26899170873052947,Parking Lot
0.27081796175055906,Parking Lot
0.2772314672520913,Parking Lot
0.2689123931363219,Parking Lot
0.26851016537963696,Parking Lot
0.273507054110519,Parking Lot
0.2737096822103664,Parking Lot
0.270471157028952,Parking Lot
0.27142780897037505,Parking Lot
0.2764649045980397,Parking Lot
0.27104233529699745,Parking Lot
0.2706720912517257,Parking Lot
0.2749217232999102,Parking Lot
0.26632507089478397,Parking Lot
0.26605330777475045,Parking Lot
0.27248525432549725,Parking Lot
0.2645355678163677,Parking Lot
0.26535518270373315,Parking Lot
0.2731192577218157,Parking Lot
0.2597719715881219,Parking Lot
0.19592241172211514,Parking Lot
0.028810640785161306,Parking Lot
0.27864711932056646,Parking Lot
0.5332468364644284,Parking Lot
0.6145278809327774,Parking Lot
0.6384921151129198,Parking Lot
0.6367401468527126,Parking Lot
0.6293863917865551,Parking Lot
0.6265478719437307,Parking Lot
0.6321685899812328,Parking Lot
0.633681397284361,Parking Lot
0.623502649304851,Parking Lot
0.630050858491638,Parking Lot
0.6302376953886922,Parking Lot
0.6202828560323096,Parking Lot
0.629140562556453,Parking Lot
0.6265929476215962,Parking Lot
0.6432018938576164,Parking Lot
0.7399291769422126,Parking Lot
0.7799034740407559,Parking Lot
0.7835292308973396,Parking Lot
0.7856159922641729,Parking Lot
0.7887677047168007,Parking Lot
0.7796011106271847,Parking Lot
0.78443070618961,Parking Lot
0.8199952838350345,Parking Lot
0.9321807497324296,Parking Lot
0.9987669042392685,Parking Lot
1.0249421757583497,Parking Lot
1.0304117816362544,Parking Lot
1.0282630337933625,Parking Lot
1.0327187836503078,Parking Lot
1.0291175947517466,Parking Lot
1.0240076387935784,Parking Lot
1.0268992877816305,Parking Lot
1.0231507756733462,Parking Lot
1.0133209552573261,Parking Lot
1.0185136845072087,Parking Lot
1.0152941386563394,Parking Lot
1.008070213731689,Parking Lot
1.0140234197160636,Parking Lot
1.020974018457525,Parking Lot
1.0181918093718536,Parking Lot
1.0161753631829595,Parking Lot
1.0225462764495503,Parking Lot
1.0115021611634303,Parking Lot
1.0251580444557855,Parking Lot
1.018287509856039,Parking Lot
1.015446762872525,Parking Lot
1.0204994045013949,Parking Lot
1.0168264591982252,Parking Lot
1.005455512487572,Parking Lot
1.017210533368322,Parking Lot
1.0165709646920131,Parking Lot
1.0124544971267335,Parking Lot
1.0199099268541414,Parking Lot
1.0170292968094576,Parking Lot
1.0162562267335389,Parking Lot
1.0215848926776716,Parking Lot
1.0307803724333229,Parking Lot
1.0459274502740665,Parking Lot
1.1311344249042905,Parking Lot
1.1713767818304963,Parking Lot
1.1761808311676738,Parking Lot
1.1816341858544794,Parking Lot
1.1826396365175067,Parking Lot
1.1740940875914034,Parking Lot
1.1788932538624946,Parking Lot
1.1766872067912015,Parking Lot
1.1718713039066533,Parking Lot
1.1829680775364293,Parking Lot
1.1903765729740903,Parking Lot
1.1836253574614266,Parking Lot
1.1836200137491972,Parking Lot
1.1929623520405521,Parking Lot
1.1864144107885894,Parking Lot
1.1875872008418118,Parking Lot
1.1887634426913807,Parking Lot
1.183308089303314,Parking Lot
1.1889863879102276,Parking Lot
1.1885590917635396,Parking Lot
1.1808813461680305,Parking Lot
1.1806141892360815,Parking Lot
1.185199879098935,Parking Lot
1.1844026350487893,Parking Lot
1.1820128048566774,Parking Lot
1.186299921523464,Parking Lot
1.175714350649825,Parking Lot
1.1745106149092097,Parking Lot
1.179211839073985,Parking Lot
1.1652418726625686,Parking Lot
1.1070655353915864,Parking Lot
1.0141908378750666,Parking Lot
0.9712486285297296,Parking Lot
0.960712605977771,Parking Lot
0.9654812019493297,Parking Lot
0.9625469619806298,Parking Lot
0.9631386673779898,Parking Lot
0.9646536144326936,Parking Lot
0.9337783984528717,Parking Lot
0.8785830848821755,Parking Lot
0.8414145093383587,Parking Lot
0.8244485658711828,Parking Lot
0.832842100884725,Parking Lot
0.8296639287776526,Parking Lot
0.8253041948265196,Parking Lot
0.8312866551879079,Parking Lot
0.8330864221169434,Parking Lot
0.8320160528788912,Parking Lot
0.8406233966865543,Parking Lot
0.8355974763460274,Parking Lot
0.7828898006181072,Parking Lot
0.6652468294287842,Parking Lot
0.5841412031926185,Parking Lot
0.5854628376964672,Parking Lot
0.5809560259700557,Parking Lot
0.5731320256112897,Parking Lot
0.5224891067764077,Parking Lot
0.35857583457076414,Parking Lot
0.10509220495460213,Parking Lot
0.026822808460606806,Parking Lot
0.04099244083302311,Parking Lot
0.04892706752794817,Parking Lot
0.05121459025521926,Parking Lot
0.03275352794788525,Parking Lot
0.03928164801720137,Parking Lot
0.04431743640959955,Parking Lot
0.032373723713451624,Parking Lot
0.02530537401067212,Parking Lot
0.02380521745780954,Parking Lot
0.009787997275633049,Parking Lot
0.019901110668404918,Parking Lot
0.029815766784874072,Parking Lot
