time,footforce,d_footforce_dt,environment
5461.29,1670.9245943488893,-445.9442687834405,Parking
5461.39,871.0682169951547,-713.3443818977973,Parking
5461.49,896.8054415535178,-955.6225808947568,Parking
5461.59,1573.7772315072546,-1145.5806156157098,Parking
5461.69,1147.2684951658002,-1284.2905457626164,Parking
5461.79,1001.5992212457037,-1371.0423072528008,Parking
5461.89,1449.7010036555814,-1382.2463174472937,Parking
5462.0,937.8992483204153,-1343.09406951133,Parking
5462.09,1303.3011931245978,-1262.1369855597284,Parking
5462.2,1311.3557869624856,-1131.6085891394248,Parking
5462.3,964.4459549399334,-981.888949328015,Parking
5462.4,1120.6502576629339,-833.1177781400673,Parking
5462.5,1000.7392267718899,-674.3013425767493,Parking
5462.6,841.4249818017053,-519.8148614381707,Parking
5462.7,1264.752544966801,-381.0412852371744,Parking
5462.8,1582.9680982256086,-263.7576732468002,Parking
5462.9,1229.4462167984414,-167.40855698373744,Parking
5463.0,942.7046196980261,-90.78801226658501,Parking
5463.1,1419.2927816345716,-44.50301097951147,Parking
5463.2,1413.0555544634472,-24.85189852043157,Parking
5463.31,932.9174668747498,-23.284772734561628,Parking
5463.41,948.6564183096007,-42.39455027129135,Parking
5463.51,1251.0819317694586,-89.07410784261418,Parking
5463.61,861.0162600090663,-143.13131159840245,Parking
5463.71,885.4253215263273,-198.68466920838856,Parking
5463.81,1583.6435836386925,-265.8990462027554,Parking
5463.91,1457.8648771405394,-331.7855933550028,Parking
5464.01,1090.2147856957374,-384.0794307109194,Parking
5464.11,1004.821377161135,-409.0870553705658,Parking
5464.21,1517.5144150880412,-394.83608545410806,Parking
5464.31,1120.2205140060594,-336.39893366750243,Parking
5464.41,933.0814541078394,-207.08288485204667,Parking
5464.52,1404.0010683756618,-1.940643509716702,Parking
5464.62,1007.8859062413761,271.89212829594703,Parking
5464.72,1093.721171048636,597.0708559772465,Parking
5464.82,1314.7908578933761,965.1035192781079,Parking
5464.92,897.8646891375114,1359.7998361017655,Parking
5465.02,968.0878059349782,1754.6860760440265,Parking
5465.12,999.0545530650465,2141.6639363434656,Parking
5465.22,1371.5342778610923,2492.9063128996527,Parking
5465.32,945.1423173258089,2789.8030276936397,Parking
5465.42,1446.2606957253593,3005.7607310737376,Parking
5465.52,1337.6094347753383,3129.0167227309203,Parking
5465.62,944.8423148864576,3148.3311115767247,Parking
5465.73,1242.8246054854242,3055.382345681312,Parking
5465.83,1533.3437318487984,2860.9182492245127,Parking
5465.93,1051.943455338003,2550.6889865328244,Parking
5466.03,1085.6301034215758,2128.989529107089,Parking
