T_HIP,T_THIGH,T_CALF,Environment
0.0016083783611993312,0.011653768890263308,0.0028588804557915294,Parking
0.00416962802474053,0.03029256549649261,0.007431341462074177,Parking
0.0032492758664460753,0.02354644216441353,0.005776419514758916,Parking
0.0033564355818454026,0.024330221775039886,0.005968703663077717,Parking
0.0013828023614337668,0.011809860736915891,0.0028982859793205847,Parking
0.0010886219755396158,0.008487714222742271,0.0020827851326401027,Parking
0.0036490558126069817,0.02790976737898922,0.006845686257434843,Parking
0.0005731273790790173,0.005551403443137545,0.0013568933628273785,Parking
0.00042242136240854667,0.0035185564718024417,0.0008593650922812855,Parking
0.0011564352556464865,0.009493332972162268,0.002317050763836272,Parking
0.0011208288227544118,0.007374206763819594,0.0017958319592191502,Parking
0.0003614395142491894,0.002100494638231135,0.0004948378111301336,Parking
0.0006582196532149659,0.001977041140978544,0.0003918975814034136,Parking
0.0004971982671865613,0.004236863823343434,0.0010336625094208905,Parking
0.0003402569460693262,0.0019335562485068476,0.0004615373979363742,Parking
0.0006983910917419328,0.0037782213427482226,0.0009007946198012805,Parking
0.0008226589687879698,0.007955753323643561,0.0019481560723938571,Parking
0.0007735761780987262,0.007941308856073416,0.0019489723473859028,Parking
0.0009490318760456572,0.005523249144975849,0.0013291845125920976,Parking
0.0010054513131210645,0.009542734027528895,0.00234146036018305,Parking
0.002365478236985666,0.020525704818136002,0.005035146666339766,Parking
0.0010262341661665636,0.007440279595537912,0.0018202348595031028,Parking
0.0012149440055342089,0.010929151817340665,0.0026810615547478416,Parking
0.002704641207860755,0.02062914412417173,0.005058695674121694,Parking
0.0008227498346652967,0.006398166093905227,0.001569841689496098,Parking
0.001191879849380966,0.008042755033692676,0.0019621568449616888,Parking
0.0010511459696060093,0.007418893262581713,0.001816390996570871,Parking
0.00047262370818646225,0.005449172988953651,0.0013365796259153379,Parking
0.0008647337444711754,0.008953995486849359,0.0021868295482059584,Parking
0.0003978489162066305,0.0015974066243829596,0.0003604149895055121,Parking
0.0007710769780153416,0.006276297075084955,0.001536068035582391,Parking
0.000672155869503931,0.002796544743462067,0.000635941920328705,Parking
0.0004759598696886088,0.003239497129288555,0.0007781182169006843,Parking
0.0007362665560733431,0.005737315016916453,0.0014051837638047369,Parking
0.0005953036493405388,0.0017368872857408291,0.00033967999195131423,Parking
0.002358727885010338,0.005292576123335133,0.000758848421050917,Parking
0.0047964363167410295,0.01092542849396505,0.0016363267260881883,Parking
0.00404348724540047,0.010872253602564283,0.0019749375672824046,Parking
0.0019313950198142937,0.008327470585693617,0.001904700524607085,Parking
0.0064303001494714134,0.013713671574647335,0.001759164856522545,Parking
0.0037700308343808844,0.019382030090422383,0.004582027800025818,Parking
0.001095593920883767,0.012597549331974345,0.0030921644481603896,Parking
0.0015475648923053626,0.01046749381769045,0.0025535158692845334,Parking
0.001118638829774096,0.009498330425041458,0.0023290179133056317,Parking
0.0005267751084343348,0.0034575115656348535,0.0008312096738464822,Parking
0.0017406662536794998,0.014210578094539931,0.0034854315678357196,Parking
0.0004968808683998299,0.002565263324422884,0.000604838118847292,Parking
0.0007001261840592887,0.002823182937210355,0.0006317901013385211,Parking
0.0004746916001301739,0.004817667810024736,0.0011758758381526702,Parking
0.001283429672012481,0.009024364071038897,0.002207232371818762,Parking
0.0010688994006909564,0.006940674201424468,0.001658258099385159,Parking
0.0007618563002387609,0.00291308709091561,0.0006349698295246441,Parking
0.0012104970288424803,0.0042815973822936315,0.0009170200088788934,Parking
0.002860706358193736,0.005697983319092379,0.000558925899576702,Parking
0.0019024430592368856,0.005685025351289286,0.001124743137965626,Parking
0.0021980950994683343,0.007558363002146657,0.00160889941381287,Parking
0.0004830218149638131,0.0032870559079564753,0.0007853337959366678,Parking
0.000715842708668531,0.004943395618871859,0.0012078879512200083,Parking
0.0005846382122385439,0.004092677210710812,0.0009999059958036446,Parking
0.0014155683729281563,0.010245457377134632,0.0025132157483717236,Parking
0.0019462668282033261,0.007428748799418511,0.001616812646421836,Parking
0.0026766360602267286,0.008207815151033027,0.0016427133810407964,Parking
0.0015870677859482183,0.007244097619634455,0.0016601783621033035,Parking
0.002189590863598205,0.00725691288388737,0.001512728142153436,Parking
0.001029264990224234,0.007860239037393696,0.001911577744409102,Parking
0.0008710756141973176,0.005991563724592344,0.0014628407982863413,Parking
0.0012721671555878705,0.009133467312593936,0.002238299933896542,Parking
0.0004796095165237015,0.003160598074943978,0.0007629579456015911,Parking
0.001110941855256613,0.00931661925973513,0.0022865544223123068,Parking
0.0007325522273478943,0.006654994800956742,0.001623481166429248,Parking
0.0010598916754061812,0.008257859224805616,0.0020215766709373484,Parking
0.0007365253850887935,0.008993049672670436,0.0022074309717307968,Parking
0.0007488376986092452,0.005843482439396115,0.001414314528654375,Parking
0.000977210489321156,0.0070055104929893815,0.0017144753699067656,Parking
0.0014172927645515522,0.01623332985569749,0.0039855937571816775,Parking
0.0010894704764216952,0.011618899331505053,0.0028417697259397914,Parking
0.0003737516448445069,0.0027176395640352243,0.0006655463248937913,Parking
0.0012665921440788946,0.012649283891674789,0.0030964820779249384,Parking
0.0008688916772151389,0.008694168324843718,0.002131540363227949,Parking
0.0004736562008438022,0.006097609234579671,0.0014979676001845598,Parking
0.000734812082657783,0.008212476844409376,0.0020122288346163587,Parking
0.0005993921506650318,0.0015964812689913091,0.00029002051124786326,Parking
0.001132531401550431,0.008036299075237018,0.00196223315381083,Parking
0.0007860500386897925,0.009966939967449327,0.00244738991089774,Parking
0.0009010313951963186,0.00869568731378797,0.0021187673370363902,Parking
0.0006992874480629269,0.0034880709222958914,0.0008135168574718199,Parking
0.0011532707456407456,0.010103940919959352,0.0024796493376445196,Parking
0.000980596723966787,0.007432671198209466,0.0017893272934865771,Parking
0.0006141459192731583,0.005463385258794304,0.0013296775513160126,Parking
0.0009060282546454943,0.010798149662283913,0.0026503842413859785,Parking
0.001214489681008948,0.010982295716027232,0.0026877577452206138,Parking
0.0010511250572792009,0.008211006341917786,0.002008921200879442,Parking
0.0015581235378157624,0.011306798095701141,0.0027732094589616777,Parking
0.0018965932755325248,0.020158570365233237,0.004941459257375942,Parking
0.001181171294828206,0.011900849115644888,0.002916723194462869,Parking
0.0008573226033579196,0.00392910852272967,0.0009012218668126064,Parking
0.0025616620133389373,0.011522008944382538,0.0026125403241357738,Parking
0.0015348104872012509,0.008517616080460567,0.0019958296265022834,Parking
0.0019252285018367193,0.004090084513020691,0.0005250994274224734,Parking
0.0011688897885081234,0.008510047593692982,0.002080812381637566,Parking
0.0005460414641283484,0.005286202234650647,0.0012884003497496848,Parking
0.0008921573610088847,0.00611798450888809,0.0014948823771590775,Parking
0.0006798300294632275,0.005910886065191462,0.0014343203749082316,Parking
0.0007649836779502441,0.006550881754581034,0.0016055889382982048,Parking
0.0006722605278805373,0.00799710611118825,0.0019625881654853363,Parking
0.0008877535345979736,0.004550691543977546,0.0010736470773608255,Parking
0.0005282849476995076,0.006367502423192977,0.0015634528952283785,Parking
0.0028774168819424837,0.021889355455639675,0.005362361157802922,Parking
0.0011993631425754588,0.009439762433678191,0.0023100086493722796,Parking
0.0025501784787502002,0.018702011888213414,0.004586358397116021,Parking
0.0029549904695805648,0.02227450531628345,0.005459476828714017,Parking
0.00034000547760255743,0.0018836332981270662,0.0004506917074782454,Parking
0.0018890193575256046,0.013880096161686327,0.0034051766360495934,Parking
0.002184929834495254,0.016801395104807014,0.004120876974695267,Parking
0.0017497913605732036,0.013195355156816947,0.00323228865068393,Parking
0.0011534766942927449,0.008615871380861123,0.002112341901062134,Parking
0.0022704037430109386,0.019583119323332822,0.004804073991908291,Parking
0.0011442227431366148,0.01277298226125939,0.0031333010483728936,Parking
0.0002610035911571157,0.001513074211389404,0.0003561383207549118,Parking
0.0020533740663660274,0.017417688386439513,0.004272893944906546,Parking
0.0006049455376571339,0.006688569441762682,0.0016425025992515877,Parking
0.0014100385882869935,0.011765569200485809,0.002886996266974719,Parking
0.0011762164009212939,0.009064292531696546,0.002213779753688309,Parking
0.0008233141777999798,0.005892749461923088,0.0014415537598463667,Parking
0.0023483076150952954,0.01861393311975424,0.004565143129560314,Parking
0.002573860223788613,0.019905555169896037,0.004875762213919222,Parking
0.0020548803690723628,0.005156778432923489,0.000875782045188702,Parking
0.001948775242951994,0.011682265716612265,0.0028169626210994086,Parking
0.004357370399143761,0.03018767692538129,0.007363103674865596,Parking
0.0020522026756217026,0.012854802171568694,0.003067601373189897,Parking
0.002337125620752192,0.016857409870437386,0.004133074136083463,Parking
0.0022585435495999636,0.017053176497811958,0.004182915053911591,Parking
0.0008767247102694992,0.007152122401475929,0.0017547949014140956,Parking
0.00141268543463679,0.011057794276498998,0.002712749323019349,Parking
0.0021622709393781608,0.012171009270835115,0.002917898123736051,Parking
0.0014978164970159097,0.008908953298336665,0.0021469926355912427,Parking
0.0009917640174451079,0.00695772471840276,0.0016851750260629497,Parking
0.0020929630805892273,0.015109766855572004,0.003681442437951591,Parking
0.0016520649307316332,0.013135308189659129,0.0032009382029156114,Parking
0.0016997216835766139,0.012105192701362996,0.0029646641378172508,Parking
0.0009290246886840628,0.009678510311740138,0.002375572544128463,Parking
0.0023512476408513797,0.018148162916015547,0.004446120486000339,Parking
0.003370960853171216,0.02494593747999183,0.006118908906945612,Parking
0.001164000138940442,0.008420603904759825,0.00206551308110321,Parking
0.002021382307835716,0.01489460510362581,0.0036504476137427804,Parking
0.0020477194566632675,0.015060568517858306,0.00369135619330436,Parking
0.002712883747938506,0.013483600866059785,0.003174974518157077,Parking
0.0029419505287198934,0.011012283974645801,0.002392592327827242,Parking
0.0031118125687249858,0.019988914879005205,0.004852504860416366,Parking
0.004311266892400109,0.028907249746428526,0.006922993510919508,Parking
0.0001047695007894036,0.0008701527089238903,0.00021143169139200982,Parking
0.0027716283889721908,0.02423464327893687,0.0059435538770436225,Parking
0.0017125656346334667,0.01306308650920404,0.0031726940767941255,Parking
0.005371392782450128,0.012268532876687197,0.0018578769271627386,Parking
0.003685959986032612,0.013470364563460705,0.0029484925775913025,Parking
0.005065104631270016,0.012523246850868433,0.0020872482343568576,Parking
0.004981054764000065,0.012496450484299038,0.002148822790242526,Parking
0.0013113796927944862,0.012026307219714713,0.0029521666222682447,Parking
0.0012788732697615575,0.009253499986095958,0.002268897636608505,Parking
0.0019556742186440674,0.014190197676346692,0.003476487163025662,Parking
0.0022537724016427336,0.015891518950135818,0.003881668993692889,Parking
0.001001391962926448,0.007895581454261866,0.001937181041873601,Parking
0.0019970317668201757,0.014186900522118157,0.0034548223729539726,Parking
0.0008334231729452302,0.005448198209139153,0.0013257422760987814,Parking
0.000877155125250197,0.007331453996116648,0.0017959193595124055,Parking
0.001734808501257317,0.012071254304592518,0.002952026200019364,Parking
0.0007767848461236968,0.006102032968162369,0.0014725512346792987,Parking
0.0013056342743222751,0.011813476879205089,0.002895350452489086,Parking
0.00138879261635749,0.012165106471800656,0.0029627065272441254,Parking
0.0012778114187079026,0.003861168737549117,0.0007640910152508598,Parking
0.004166996197509854,0.016183066083979764,0.003561332176563615,Parking
0.0014377990902340026,0.010259858670477759,0.002490975681433444,Parking
0.0033451199827180564,0.006920608430404184,0.0008003022817444468,Parking
0.002783087650524647,0.016456323284237576,0.00396731306981726,Parking
0.001146574807430684,0.007621477339781163,0.0018563367663988954,Parking
0.002234013913386625,0.015993442927235667,0.0039198100780479285,Parking
0.003181908776574715,0.02303900339571945,0.005649369351709387,Parking
0.0015414964672366082,0.011008569995806043,0.002695770001251771,Parking
0.0034242874531750646,0.024827061294947668,0.0060903026195579515,Parking
0.004012190746798673,0.030703128180198574,0.007531894430321452,Parking
0.0013226145394691089,0.010048609968494167,0.0024568913472089175,Parking
0.000925936696309537,0.010749547214665978,0.0026401628006041586,Parking
