angular_v_mag,Environment
0.0008297779804863466,Parking Lot
0.0012451709277609237,Parking Lot
0.00222589246235392,Parking Lot
0.0011444100018214625,Parking Lot
0.0011144122832219682,Parking Lot
0.013259663200721352,Parking Lot
0.3149526129821502,Parking Lot
0.07536568962518685,Parking Lot
0.02359954967875447,Parking Lot
0.046214103152176375,Parking Lot
0.13841592340699102,Parking Lot
0.25858857150926545,Parking Lot
0.35260803737442303,Parking Lot
0.25539024623485523,Parking Lot
0.18184624451529818,Parking Lot
0.29995092457502703,Parking Lot
1.2722549390736946,Parking Lot
1.0104411443449144,Parking Lot
0.2178956201772078,Parking Lot
0.266699932974045,Parking Lot
0.024756987107481643,Parking Lot
0.08629438654304215,Parking Lot
0.1745032995225305,Parking Lot
0.23003305497047596,Parking Lot
0.14815951858604975,Parking Lot
0.09504906908265023,Parking Lot
0.06103633100015428,Parking Lot
0.041948463476508824,Parking Lot
0.01860798536247272,Parking Lot
0.03950426546792126,Parking Lot
0.008307977648621968,Parking Lot
0.024021407677528025,Parking Lot
0.003526959030099475,Parking Lot
0.020304583060235536,Parking Lot
0.002695287073764163,Parking Lot
0.013189450945736782,Parking Lot
0.002763110088288186,Parking Lot
0.011412347846083078,Parking Lot
0.0037685636839517836,Parking Lot
0.011153261228896,Parking Lot
0.0065136756474359,Parking Lot
0.0069230893133051434,Parking Lot
0.004301012438949738,Parking Lot
0.0055595353079190505,Parking Lot
0.004343534953237749,Parking Lot
0.001743843287110395,Parking Lot
0.0018202325153671996,Parking Lot
0.001297958862984436,Parking Lot
0.003078448888644992,Parking Lot
0.00124792944111432,Parking Lot
0.00219444152576459,Parking Lot
0.0026378756016915516,Parking Lot
0.0011460020244308956,Parking Lot
0.0027699488099965615,Parking Lot
0.002006373305245032,Parking Lot
0.0025438289034445125,Parking Lot
0.001818069198353239,Parking Lot
0.002569248987544767,Parking Lot
0.0013980515011973152,Parking Lot
0.0028509740458306614,Parking Lot
0.0031880917882019114,Parking Lot
0.0010030265450126502,Parking Lot
0.0021717747673274754,Parking Lot
0.0012336045598164737,Parking Lot
0.000795267407857224,Parking Lot
0.002489777090423703,Parking Lot
0.0018364833350727257,Parking Lot
0.0034827822915020758,Parking Lot
0.0011985224236535446,Parking Lot
0.0020306040702214737,Parking Lot
0.001167029738267204,Parking Lot
0.0022301742734594705,Parking Lot
0.0022265578456442245,Parking Lot
0.0026945916870649697,Parking Lot
0.0014327041739312693,Parking Lot
0.0009229653297929606,Parking Lot
0.0019656927760969426,Parking Lot
0.0027585021750945217,Parking Lot
0.0020762959808272394,Parking Lot
0.003928665549521914,Parking Lot
0.0026347476994964467,Parking Lot
0.003899249826569044,Parking Lot
0.008207392595093907,Parking Lot
