index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
258,6262.93,0.486694,2.782,-0.0347241,0.0108668,-0.00236324,-2.70928
259,6263.03,0.490772,2.79231,-0.0346646,0.0153724,-0.0056684,-2.71224
260,6263.13,0.491836,2.79682,-0.0361918,0.0216917,0.00566157,-2.70788
261,6263.23,0.488561,2.80051,-0.0349909,0.0303567,-0.0108877,-2.70311
262,6263.34,0.492106,2.80275,-0.0337343,0.0300721,-0.0125794,-2.71272
263,6263.44,0.487622,2.80294,-0.0363344,0.0337825,-0.00161443,-2.71721
264,6263.54,0.490561,2.80969,-0.0394072,0.0210445,-0.0106974,-2.71199
265,6263.64,0.49016,2.80649,-0.0398761,0.0164658,-0.00773425,-2.71193
266,6263.74,0.488043,2.8041,-0.0398209,0.0150946,-0.00631549,-2.71079
267,6263.84,0.486421,2.80436,-0.0397371,0.0164348,-0.00500327,-2.71134
268,6263.94,0.48858,2.80502,-0.0392202,0.0177225,-0.00455814,-2.71286
269,6264.04,0.484917,2.80674,-0.0373301,0.0168795,-0.00344836,-2.71059
270,6264.14,0.476436,2.80457,-0.0359906,0.0104731,-0.0237201,-2.71716
271,6264.24,0.459902,2.80234,-0.0358191,0.0177752,-0.0221543,-2.71353
272,6264.34,0.428941,2.79276,-0.0370885,0.018468,-0.020545,-2.70957
273,6264.44,0.388055,2.77747,-0.0361508,0.0181523,-0.0191829,-2.7174
274,6264.55,0.345997,2.76837,-0.0394525,0.0367043,-0.00713531,-2.71851
275,6264.65,0.283691,2.74498,-0.0428902,0.0330664,-0.0102186,-2.71224
276,6264.75,0.229743,2.72101,-0.0440766,0.0261053,-0.00739286,-2.72404
277,6264.85,0.161007,2.69794,-0.0444498,0.0394365,0.00679978,-2.72941
278,6264.95,0.0950131,2.67109,-0.0448363,0.0381255,-0.00796209,-2.72282
279,6265.05,0.0346063,2.63978,-0.04401,0.0270173,-0.0140995,-2.72088
280,6265.15,-0.0342026,2.61556,-0.0482796,0.0341411,0.0187027,-2.72672
281,6265.25,-0.0916423,2.59436,-0.0441467,0.0298135,0.0117349,-2.71743
282,6265.35,-0.134007,2.57552,-0.041115,0.0216551,0.0130291,-2.70862
283,6265.46,-0.178847,2.55385,-0.0439967,0.0297626,0.0208825,-2.71933
284,6265.55,-0.198917,2.54818,-0.042961,0.0241501,0.0138268,-2.71582
285,6265.66,-0.226141,2.53754,-0.0392408,0.0201699,0.0129135,-2.71573
286,6265.76,-0.243138,2.52636,-0.0409956,0.0187643,0.00202607,-2.72226
287,6265.86,-0.256494,2.52753,-0.0437736,0.0174597,0.00464941,-2.72146
288,6265.96,-0.268913,2.52947,-0.0390326,0.0254223,-0.00687155,-2.72132
289,6266.06,-0.288496,2.5296,-0.0408843,0.0275037,-0.0178595,-2.72963
290,6266.16,-0.31354,2.52571,-0.0424041,0.035471,-0.0130976,-2.73045
291,6266.26,-0.357165,2.51071,-0.0436832,0.0343806,-0.014728,-2.73027
292,6266.36,-0.402859,2.48821,-0.0442062,0.0278038,-0.00817639,-2.74258
293,6266.46,-0.449608,2.47163,-0.0466287,0.0401874,-0.00276032,-2.74578
294,6266.56,-0.5039,2.44649,-0.0483412,0.0288794,0.00157421,-2.7359
295,6266.66,-0.545936,2.4258,-0.0479538,0.0263877,0.00766136,-2.7443
296,6266.76,-0.58914,2.40769,-0.0483536,0.0285489,0.0197741,-2.74737
297,6266.87,-0.620194,2.40052,-0.0465671,0.0262213,0.0109117,-2.74158
298,6266.97,-0.64233,2.39041,-0.0454839,0.0160802,0.0149009,-2.74251
299,6267.07,-0.664021,2.38361,-0.0465837,0.019893,0.0155472,-2.74711
300,6267.17,-0.678942,2.38611,-0.0447493,0.0234423,0.00684206,-2.73873
301,6267.27,-0.68651,2.38939,-0.04232,0.0307308,0.00671772,-2.74577
302,6267.37,-0.702648,2.38401,-0.0440884,0.0293186,0.00488704,-2.75048
303,6267.47,-0.707845,2.38997,-0.0433205,0.0302373,0.00694303,-2.74879
304,6267.57,-0.717263,2.39019,-0.043588,0.038958,0.000588293,-2.74115
305,6267.68,-0.7184,2.39455,-0.0492568,0.0361268,0.000794136,-2.72744
306,6267.77,-0.718853,2.39429,-0.0495893,0.0341546,0.00260058,-2.72507
307,6267.87,-0.719352,2.3928,-0.0493162,0.0328221,0.00351613,-2.72908
308,6267.97,-0.719104,2.39204,-0.0493812,0.0316669,0.00385309,-2.72757
309,6268.08,-0.718881,2.39131,-0.0494736,0.033008,0.00295597,-2.72815
310,6268.18,-0.717832,2.39195,-0.0504332,0.0364274,-0.00670854,-2.69449
311,6268.28,-0.717076,2.393,-0.050932,0.0251379,-0.0165515,-2.60098
312,6268.38,-0.719857,2.39189,-0.0500334,0.0208274,-0.0129981,-2.57387
313,6268.48,-0.72377,2.39467,-0.0492029,0.0247818,-0.0216673,-2.55074
314,6268.58,-0.723841,2.39566,-0.0479114,0.021539,-0.0223556,-2.55232
